Target;Source
euge;Alanus, Petrus
exaltatio;Gorran, Maurit
exalto;Biard, Petrus
excessus;Maurit, Petrus
exemplum;Maurit, Petrus
exeo;Alanus, Petrus
exsurgo;Alanus, Maurit
extensio;Biard, Maurit
facilitas;Gorran, Petrus
falsitas;Maurit, Petrus
falsus;Biard, Petrus
falx;Alanus, Angel
farina;Alanus, Angel
faucis;Alanus, Angel
fauilla;Alanus, Angel
fel;Alanus, Angel
felicitas;Biard, Petrus
femina;Angel, Petrus
ferculum;Alanus, Angel
ferus;Alanus, Angel
festinatio;Biard, Maurit
festiuitas;Maurit, Petrus
fex;Alanus, Angel
ficus;Alanus, Angel
fidelitas;Gorran, Maurit
figura;Alanus, Petrus
fimbria;Alanus, Angel
firmamentum;Angel, Maurit
fistula;Alanus, Angel
flagellum;Maurit, Petrus
flatus;Alanus, Maurit
flecto;Maurit, Petrus
fleo;Gorran, Petrus
fodio;Alanus, Biard
foramen;Angel, Maurit
formo;Alanus, Maurit
forsitan;Alanus, Petrus
fossa;Alanus, Angel
fragmen;Alanus, Angel
frango;Alanus, Maurit
fraternitas;Gorran, Maurit
frigus;Angel, Maurit
fulgor;Angel, Maurit
funda;Angel, Maurit
furtum;Biard, Maurit
galea;Angel, Maurit
gallina;Angel, Petrus
gazophylacium;Alanus, Angel
gemo;Gorran, Petrus
genuum;Alanus, Angel
germen;Alanus, Maurit
gigno;Alanus, Angel
gleba;Alanus, Angel
gracia;Biard, Petrus
gradio;Alanus, Maurit
grando;Alanus, Angel
grauitas;Maurit, Petrus
greek.expression;Alanus, Angel
gula;Alanus, Petrus
gurges;Alanus, Angel
gurgustium;Alanus, Angel
gustus;Gorran, Maurit
gutta;Alanus, Angel
gyrus;Alanus, Maurit
habitaculum;Angel, Maurit
habitatio;Gorran, Maurit
habundantia;Maurit, Petrus
hamus;Alanus, Angel
hareno;Angel, Maurit
harundo;Angel, Petrus
hasta;Alanus, Angel
hereses;Angel, Petrus
hereticus;Angel, Petrus
herodes;Angel, Biard
herodius;Alanus, Angel
hiems;Alanus, Angel
hinnulus;Alanus, Angel
hircus;Alanus, Angel
hodie;Alanus, Angel
holocaustum;Alanus, Angel
homicidium;Maurit, Petrus
honestas;Gorran, Maurit
honoro;Biard, Gorran
honus;Biard, Maurit
hospes;Biard, Petrus
hospitalitas;Maurit, Petrus
hostis;Maurit, Petrus
huiusmodi;Biard, Petrus
humilio;Alanus, Petrus
humilis;Alanus, Biard
iacio;Alanus, Maurit
iaculum;Alanus, Maurit
iaspis;Alanus, Angel
illusio;Maurit, Petrus
imitor;Biard, Gorran
immundicia;Maurit, Petrus
impedimentum;Biard, Petrus
impedio;Biard, Maurit
impetus;Maurit, Petrus
impius;Angel, Petrus
impleo;Alanus, Biard
inanis;Alanus, Petrus
incarnatio;Biard, Petrus
inclinatio;Gorran, Maurit
inclino;Alanus, Petrus
increpatio;Maurit, Petrus
increpo;Biard, Petrus
incuruatio;Maurit, Petrus
infero;Alanus, Biard
iniuria;Maurit, Petrus
innouatio;Maurit, Petrus
inquisitio;Gorran, Maurit
institor;Alanus, Angel
insula;Alanus, Angel
intelligo;Biard, Petrus
interitus;Alanus, Maurit
interpretor;Biard, Petrus
introeo;Alanus, Maurit
inuentio;Biard, Maurit
inuicem;Gorran, Maurit
inuitatio;Biard, Petrus
iocunditas;Gorran, Maurit
iohhannes;Biard, Petrus
iordanes;Alanus, Angel
ioseph;Alanus, Petrus
irascor;Biard, Petrus
iste;Biard, Petrus
iudea;Alanus, Petrus
iudico;Biard, Petrus
iuncus;Alanus, Angel
iuramentum;Maurit, Petrus
iusticia;Biard, Petrus
iustificatio;Maurit, Petrus
