,lemma,source,collection_count,is_unique
101,buxus,anonymous_angelus.predicted_лем.csv,2.0,False
102,vadauer,anonymous_angelus.predicted_лем.csv,2.0,False
103,caligo,anonymous_angelus.predicted_лем.csv,3.0,False
104,calor,anonymous_angelus.predicted_лем.csv,3.0,False
105,calix,anonymous_angelus.predicted_лем.csv,6.0,False
106,calamus,anonymous_angelus.predicted_лем.csv,3.0,False
107,calumniator,anonymous_angelus.predicted_лем.csv,1.0,True
108,calcaneum,anonymous_angelus.predicted_лем.csv,1.0,True
109,calculus,anonymous_angelus.predicted_лем.csv,2.0,False
110,Callis,anonymous_angelus.predicted_лем.csv,2.0,False
111,calceamentum,anonymous_angelus.predicted_лем.csv,4.0,False
112,clamor,anonymous_angelus.predicted_лем.csv,4.0,False
113,clavus,anonymous_angelus.predicted_лем.csv,1.0,True
114,clauis,anonymous_angelus.predicted_лем.csv,3.0,False
115,campus,anonymous_angelus.predicted_лем.csv,3.0,False
116,camelus,anonymous_angelus.predicted_лем.csv,2.0,False
117,Chamus,anonymous_angelus.predicted_лем.csv,2.0,False
118,Caminus,anonymous_angelus.predicted_лем.csv,3.0,False
119,candelabrum,anonymous_angelus.predicted_лем.csv,3.0,False
120,candor,anonymous_angelus.predicted_лем.csv,5.0,False
121,Canistrus,anonymous_angelus.predicted_лем.csv,1.0,True
122,canalis,anonymous_angelus.predicted_лем.csv,1.0,True
123,canis,anonymous_angelus.predicted_лем.csv,5.0,False
124,caput,anonymous_angelus.predicted_лем.csv,3.0,False
125,capillus,anonymous_angelus.predicted_лем.csv,4.0,False
126,capitellum,anonymous_angelus.predicted_лем.csv,1.0,True
127,castellum,anonymous_angelus.predicted_лем.csv,1.0,True
128,capparis,anonymous_angelus.predicted_лем.csv,2.0,False
129,caprea,anonymous_angelus.predicted_лем.csv,2.0,False
130,capra,anonymous_angelus.predicted_лем.csv,1.0,True
131,carcer,anonymous_angelus.predicted_лем.csv,4.0,False
132,carus,anonymous_angelus.predicted_лем.csv,4.0,False
133,carmen,anonymous_angelus.predicted_лем.csv,3.0,False
134,Carmelus,anonymous_angelus.predicted_лем.csv,2.0,False
135,Cartilago,anonymous_angelus.predicted_лем.csv,2.0,False
136,Carectus,anonymous_angelus.predicted_лем.csv,1.0,True
137,carbunculus,anonymous_angelus.predicted_лем.csv,1.0,True
138,Caradion,anonymous_angelus.predicted_лем.csv,1.0,True
139,cardinis,anonymous_angelus.predicted_лем.csv,1.0,True
140,carbo,anonymous_angelus.predicted_лем.csv,2.0,False
141,craticula,anonymous_angelus.predicted_лем.csv,1.0,True
142,Crater,anonymous_angelus.predicted_лем.csv,2.0,False
143,caseus,anonymous_angelus.predicted_лем.csv,1.0,True
144,castrum,anonymous_angelus.predicted_лем.csv,3.0,False
145,Catulus,anonymous_angelus.predicted_лем.csv,2.0,False
146,cathedra,anonymous_angelus.predicted_лем.csv,4.0,False
147,Catena,anonymous_angelus.predicted_лем.csv,1.0,True
148,cataracta,anonymous_angelus.predicted_лем.csv,1.0,True
149,Cauma,anonymous_angelus.predicted_лем.csv,2.0,False
150,cauda,anonymous_angelus.predicted_лем.csv,2.0,False
151,Cauerna,anonymous_angelus.predicted_лем.csv,2.0,False
152,Cedrus,anonymous_angelus.predicted_лем.csv,3.0,False
153,Cherub,anonymous_angelus.predicted_лем.csv,1.0,True
154,coelum,anonymous_angelus.predicted_лем.csv,1.0,True
155,cella,anonymous_angelus.predicted_лем.csv,2.0,False
156,cellaria,anonymous_angelus.predicted_лем.csv,1.0,True
157,caelatura,anonymous_angelus.predicted_лем.csv,1.0,True
158,clerus,anonymous_angelus.predicted_лем.csv,2.0,False
159,caementarius,anonymous_angelus.predicted_лем.csv,1.0,True
160,coena,anonymous_angelus.predicted_лем.csv,1.0,True
161,cera,anonymous_angelus.predicted_лем.csv,2.0,False
162,ceruus,anonymous_angelus.predicted_лем.csv,3.0,False
163,ceruum,anonymous_angelus.predicted_лем.csv,2.0,False
164,veruix,anonymous_angelus.predicted_лем.csv,3.0,False
165,cerastes,anonymous_angelus.predicted_лем.csv,1.0,True
166,cetus,anonymous_angelus.predicted_лем.csv,1.0,True
167,cibus,anonymous_angelus.predicted_лем.csv,5.0,False
168,Cibaria,anonymous_angelus.predicted_лем.csv,1.0,True
169,cicatrix,anonymous_angelus.predicted_лем.csv,1.0,True
170,Cygnus,anonymous_angelus.predicted_лем.csv,1.0,True
171,cilicium,anonymous_angelus.predicted_лем.csv,3.0,False
172,Clibanus,anonymous_angelus.predicted_лем.csv,3.0,False
173,clypeum,anonymous_angelus.predicted_лем.csv,1.0,True
174,cymbalum,anonymous_angelus.predicted_лем.csv,3.0,False
175,Cyphus,anonymous_angelus.predicted_лем.csv,1.0,True
176,cinis,anonymous_angelus.predicted_лем.csv,4.0,False
177,Cynomyia,anonymous_angelus.predicted_лем.csv,1.0,True
178,Cinnamomus,anonymous_angelus.predicted_лем.csv,2.0,False
179,Cincinnius,anonymous_angelus.predicted_лем.csv,1.0,True
180,cingulum,anonymous_angelus.predicted_лем.csv,4.0,False
181,Ciniphes,anonymous_angelus.predicted_лем.csv,1.0,True
182,Cyprus,anonymous_angelus.predicted_лем.csv,1.0,True
183,Cypressus,anonymous_angelus.predicted_лем.csv,1.0,True
184,circulus,anonymous_angelus.predicted_лем.csv,3.0,False
185,Cisterna,anonymous_angelus.predicted_лем.csv,2.0,False
186,crystallus,anonymous_angelus.predicted_лем.csv,2.0,False
187,Cyathus,anonymous_angelus.predicted_лем.csv,1.0,True
188,Cithara,anonymous_angelus.predicted_лем.csv,3.0,False
189,ciuitas,anonymous_angelus.predicted_лем.csv,6.0,False
190,ciuis,anonymous_angelus.predicted_лем.csv,1.0,True
191,Coccus,anonymous_angelus.predicted_лем.csv,1.0,True
192,chorus,anonymous_angelus.predicted_лем.csv,3.0,False
193,cophinus,anonymous_angelus.predicted_лем.csv,2.0,False
194,collum,anonymous_angelus.predicted_лем.csv,2.0,False
195,Columba,anonymous_angelus.predicted_лем.csv,5.0,False
196,columna,anonymous_angelus.predicted_лем.csv,2.0,False
197,color,anonymous_angelus.predicted_лем.csv,1.0,True
198,Coluber,anonymous_angelus.predicted_лем.csv,3.0,False
199,Colles,anonymous_angelus.predicted_лем.csv,1.0,True
200,Coma,anonymous_angelus.predicted_лем.csv,1.0,True
201,compages,anonymous_angelus.predicted_лем.csv,1.0,True
202,concentus,anonymous_angelus.predicted_лем.csv,1.0,True
203,concubina,anonymous_angelus.predicted_лем.csv,2.0,False
204,concupiscentia,anonymous_angelus.predicted_лем.csv,4.0,False
205,cognitio,anonymous_angelus.predicted_лем.csv,3.0,False
206,comedo,anonymous_angelus.predicted_лем.csv,5.0,False
207,confessio,anonymous_angelus.predicted_лем.csv,6.0,False
208,confusio,anonymous_angelus.predicted_лем.csv,3.0,False
209,consul,anonymous_angelus.predicted_лем.csv,2.0,False
210,consiliarius,anonymous_angelus.predicted_лем.csv,1.0,True
211,contentio,anonymous_angelus.predicted_лем.csv,3.0,False
212,Conualles,anonymous_angelus.predicted_лем.csv,1.0,True
213,Cor,anonymous_angelus.predicted_лем.csv,4.0,False
214,corpus,anonymous_angelus.predicted_лем.csv,5.0,False
215,coruus,anonymous_angelus.predicted_лем.csv,3.0,False
216,corona,anonymous_angelus.predicted_лем.csv,6.0,False
217,cornu,anonymous_angelus.predicted_лем.csv,4.0,False
218,Cortina,anonymous_angelus.predicted_лем.csv,2.0,False
219,cortex,anonymous_angelus.predicted_лем.csv,2.0,False
220,crocus,anonymous_angelus.predicted_лем.csv,2.0,False
221,Coturnix,anonymous_angelus.predicted_лем.csv,1.0,True
222,Costa,anonymous_angelus.predicted_лем.csv,2.0,False
223,cubitus,anonymous_angelus.predicted_лем.csv,1.0,True
224,cubilis,anonymous_angelus.predicted_лем.csv,3.0,False
225,culmus,anonymous_angelus.predicted_лем.csv,2.0,False
226,culex,anonymous_angelus.predicted_лем.csv,1.0,True
227,cultrum,anonymous_angelus.predicted_лем.csv,1.0,True
228,currus,anonymous_angelus.predicted_лем.csv,4.0,False
229,Crus,anonymous_angelus.predicted_лем.csv,2.0,False
230,custos,anonymous_angelus.predicted_лем.csv,3.0,False
231,cutis,anonymous_angelus.predicted_лем.csv,2.0,False
232,damula,anonymous_angelus.predicted_лем.csv,1.0,True
233,Damascus,anonymous_angelus.predicted_лем.csv,1.0,True
234,dragma,anonymous_angelus.predicted_лем.csv,2.0,False
235,Draco,anonymous_angelus.predicted_лем.csv,2.0,False
236,deus,anonymous_angelus.predicted_лем.csv,5.0,False
237,Delicia,anonymous_angelus.predicted_лем.csv,1.0,True
238,denarius,anonymous_angelus.predicted_лем.csv,2.0,False
239,defectus,anonymous_angelus.predicted_лем.csv,4.0,False
240,dens,anonymous_angelus.predicted_лем.csv,4.0,False
241,desertum,anonymous_angelus.predicted_лем.csv,5.0,False
242,dextrum,anonymous_angelus.predicted_лем.csv,1.0,True
243,dextrarius,anonymous_angelus.predicted_лем.csv,1.0,True
244,diadema,anonymous_angelus.predicted_лем.csv,4.0,False
245,dies,anonymous_angelus.predicted_лем.csv,5.0,False
246,diluculum,anonymous_angelus.predicted_лем.csv,3.0,False
247,digitus,anonymous_angelus.predicted_лем.csv,4.0,False
248,dilectus,anonymous_angelus.predicted_лем.csv,1.0,True
249,diluuium,anonymous_angelus.predicted_лем.csv,3.0,False
250,viues,anonymous_angelus.predicted_лем.csv,2.0,False
251,diuitia,anonymous_angelus.predicted_лем.csv,1.0,True
252,dominus,anonymous_angelus.predicted_лем.csv,5.0,False
253,domus,anonymous_angelus.predicted_лем.csv,6.0,False
254,dromedarius,anonymous_angelus.predicted_лем.csv,2.0,False
255,dorsum,anonymous_angelus.predicted_лем.csv,2.0,False
256,dormitio,anonymous_angelus.predicted_лем.csv,4.0,False
257,dux,anonymous_angelus.predicted_лем.csv,2.0,False
258,Ebur,anonymous_angelus.predicted_лем.csv,3.0,False
259,ebrietas,anonymous_angelus.predicted_лем.csv,5.0,False
260,ecclesia,anonymous_angelus.predicted_лем.csv,3.0,False
261,Edus,anonymous_angelus.predicted_лем.csv,1.0,True
262,Edom,anonymous_angelus.predicted_лем.csv,1.0,True
263,Egyptus,anonymous_angelus.predicted_лем.csv,3.0,False
264,Elata,anonymous_angelus.predicted_лем.csv,1.0,True
265,Electrus,anonymous_angelus.predicted_лем.csv,1.0,True
266,emulatio,anonymous_angelus.predicted_лем.csv,3.0,False
267,emunctorium,anonymous_angelus.predicted_лем.csv,1.0,True
268,ensis,anonymous_angelus.predicted_лем.csv,1.0,True
269,Engadi,anonymous_angelus.predicted_лем.csv,1.0,True
270,fons,anonymous_angelus.predicted_лем.csv,7.0,False
271,eds,anonymous_angelus.predicted_лем.csv,1.0,True
272,equus,anonymous_angelus.predicted_лем.csv,3.0,False
273,Erugus,anonymous_angelus.predicted_лем.csv,2.0,False
274,eruca,anonymous_angelus.predicted_лем.csv,2.0,False
275,Erinacii,anonymous_angelus.predicted_лем.csv,1.0,True
276,/,anonymous_angelus.predicted_лем.csv,5.0,False
277,Ericius,anonymous_angelus.predicted_лем.csv,2.0,False
278,Es,anonymous_angelus.predicted_лем.csv,2.0,False
279,Esebon,anonymous_angelus.predicted_лем.csv,1.0,True
280,esca,anonymous_angelus.predicted_лем.csv,4.0,False
281,esto,anonymous_angelus.predicted_лем.csv,3.0,False
282,Ethera,anonymous_angelus.predicted_лем.csv,1.0,True
283,eternus,anonymous_angelus.predicted_лем.csv,4.0,False
284,Ethiopia,anonymous_angelus.predicted_лем.csv,1.0,True
285,Ethiopes,anonymous_angelus.predicted_лем.csv,1.0,True
286,exactor,anonymous_angelus.predicted_лем.csv,1.0,True
287,explorator,anonymous_angelus.predicted_лем.csv,1.0,True
288,exercitus,anonymous_angelus.predicted_лем.csv,1.0,True
289,exitus,anonymous_angelus.predicted_лем.csv,4.0,False
290,Faretra,anonymous_angelus.predicted_лем.csv,1.0,True
291,faber,anonymous_angelus.predicted_лем.csv,1.0,True
292,facio,anonymous_angelus.predicted_лем.csv,6.0,False
293,fasciculus,anonymous_angelus.predicted_лем.csv,3.0,False
294,falx,anonymous_angelus.predicted_лем.csv,2.0,False
295,flamma,anonymous_angelus.predicted_лем.csv,3.0,False
296,fames,anonymous_angelus.predicted_лем.csv,5.0,False
297,Farina,anonymous_angelus.predicted_лем.csv,2.0,False
298,frater,anonymous_angelus.predicted_лем.csv,3.0,False
299,fragmen,anonymous_angelus.predicted_лем.csv,2.0,False
300,Framea,anonymous_angelus.predicted_лем.csv,2.0,False
301,Fauus,anonymous_angelus.predicted_лем.csv,3.0,False
302,fauces,anonymous_angelus.predicted_лем.csv,2.0,False
303,Fauilla,anonymous_angelus.predicted_лем.csv,2.0,False
304,fel,anonymous_angelus.predicted_лем.csv,2.0,False
305,femur,anonymous_angelus.predicted_лем.csv,3.0,False
306,femina,anonymous_angelus.predicted_лем.csv,2.0,False
307,feminalis,anonymous_angelus.predicted_лем.csv,1.0,True
308,fenus,anonymous_angelus.predicted_лем.csv,5.0,False
309,fenestra,anonymous_angelus.predicted_лем.csv,3.0,False
310,fera,anonymous_angelus.predicted_лем.csv,2.0,False
311,fermentum,anonymous_angelus.predicted_лем.csv,5.0,False
312,ferrum,anonymous_angelus.predicted_лем.csv,3.0,False
313,ferculum,anonymous_angelus.predicted_лем.csv,2.0,False
