Часть речи,Количество
PROPN,42
VERB,620
NOUN,1763
ADJ,519
PUNCT,89
CCONJ,27
DET,50
ADV,42
ADP,15
NUM,44
X,7
SCONJ,3
PRON,4
PART,1
